ID,Year_Birth,Education,Marital_Status,Income,Kidsin_home,Teenin_home,Date_became_customer,numberofdayssincelastpurchase,AmountspentDrinks,AmountspentFruits,AmountspentMeat,AmountspentFish,AmountspentSweet,AmountspentGold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,total_spent,age,total_children,total_camp_accepted,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,Churn_Risk,fav_category,Deal_User_Type,Age_group,Has_child,total_purchases,Country
5524,1957,Master,Alone,58138,0,0,04/09/2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,58,0,0,3,5,5,13,Low Risk,Drinks,Medium,Adult,No child,22,Spain
2174,1954,Master,Alone,46344,1,1,08/03/2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,61,2,0,4,1,1,6,Low Risk,Drinks,Medium,Adult,Has child,4,Spain
4141,1965,Master,Couple,71613,0,0,21/08/2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,776,50,0,0,4,4,4,12,Low Risk,Drinks,Light,Adult,No child,20,Spain
6182,1984,Master,Couple,26646,1,0,10/02/2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,31,1,0,4,2,1,7,Low Risk,Meat,Medium,Adult,Has child,6,Canada
5324,1981,PHD,Couple,58293,1,0,19/01/2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,34,1,0,1,3,3,7,Low Risk,Drinks,Heavy,Adult,Has child,14,Spain
7446,1967,Master,Couple,62513,0,1,09/09/2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,48,1,0,5,4,4,13,Low Risk,Drinks,Medium,Adult,Has child,20,Spain
965,1971,Master,Alone,55635,0,1,13/11/2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,44,1,0,4,4,3,11,Low Risk,Drinks,Heavy,Adult,Has child,17,South Africa
6177,1985,PHD,Couple,33454,1,0,08/05/2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,30,1,0,4,2,2,8,Low Risk,Drinks,Medium,Adult,Has child,8,Spain
4855,1974,PHD,Couple,30351,1,0,06/06/2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,41,1,0,5,1,1,7,Low Risk,Meat,Light,Adult,Has child,5,Canada
5899,1950,PHD,Couple,5648,1,1,13/03/2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,49,65,2,1,2,1,1,4,Low Risk,Drinks,Light,Senior,Has child,1,Spain
